package_name,cnt_download
com.navercorp.android.smartboard,100만+
com.whatsapp,50억+
com.google.android.apps.paidtasks,5000만+
com.noyesrun.meeff.kr,500만+
com.naver.whale,500만+
com.coupang.mobile,1000만+
com.nhn.android.nmap,5000만+
com.skt.tmap.ku,1000만+
viva.republica.toss,1000만+
com.hogangnono.hogangnono,100만+
com.kbstar.kbbank,1000만+
kr.co.tmoney.tia,100만+
com.kakao.page,1000만+
net.daum.android.webtoon,1000만+
Uxpp.UC,1000만+
com.everysing.lysn,100만+
com.nhn.android.navertv,500만+
com.alldocument.fileviewer.documentreader,100만+
com.instagram.android,10억+
kr.co.nowcom.mobile.afreeca,1000만+
bloodpressure.bloodpressureapp.bloodpressuretracker,1000만+
kr.go.minwon.m,1000만+
kr.co.sbs.videoplayer,500만+
com.alibaba.aliexpresshd,5억+
com.nglreactnative,1000만+
net.daum.android.map,1000만+
com.cool.safety.superbooster,500만+
com.locnall.KimGiSa,None
